Date,WeekDay,O,H,L,C
23-05-16,2,165.4,166.4,164.3,164.62
24-05-16,3,164.57,165.65,164.26,165.17
25-05-16,4,166.8,170.98,166.8,170.29
26-05-16,5,170.7,174.8,169.66,173.92
27-05-16,6,174.15,176,173.92,175.55
30-05-16,2,176,179.5,175.5,175.74
31-05-16,3,176.23,177,175.29,176.77
01-06-16,4,176.85,177.44,175,175.44
02-06-16,5,175.54,176.6,174.5,176.41
03-06-16,6,177.5,178.35,176.65,177.39
06-06-16,2,177.3,178.31,176.77,177.62
07-06-16,3,178.65,180.82,177.94,180.23
08-06-16,4,179.96,184.9,179.21,180.6
09-06-16,5,180.5,180.58,179,179.87
10-06-16,6,179.55,181.35,179,179.29
13-06-16,2,178.92,178.92,176.8,177.14
14-06-16,3,181,181,176.3,178.39
15-06-16,4,178.5,180.15,177.83,179.86
16-06-16,5,179,179.5,177.95,178.87
17-06-16,6,171.71,180,170.51,178.35
20-06-16,2,177,179.7,176.2,179.02
21-06-16,3,178.65,178.9,177.5,178.1
22-06-16,4,178,178.9,177.01,177.9
23-06-16,5,178,180.7,177.48,180.34
24-06-16,6,176.25,176.5,171.9,176.26
27-06-16,2,176,177.65,176,176.79
28-06-16,3,177.1,178.23,176.77,177.19
29-06-16,4,177.7,179.2,177.2,178.84
30-06-16,5,180,181.85,179,181.51
01-07-16,6,181.6,182.9,181.6,182.28
04-07-16,2,182.49,183.46,182.49,183
05-07-16,3,183,183.49,182.2,182.55
07-07-16,5,183.5,183.68,182.25,183.2
08-07-16,6,183.5,184.29,182.05,182.64
11-07-16,2,182.65,186.69,182.65,186.24
12-07-16,3,187,188.99,186.6,188.74
13-07-16,4,188.8,189.29,187.8,188.88
14-07-16,5,188.05,191.19,187.48,190.66
15-07-16,6,190.6,192,190,191.5
18-07-16,2,192,193.96,191.7,192.01
19-07-16,3,192,192.49,190.36,191.53
20-07-16,4,192,192.6,191.37,192.12
21-07-16,5,191.72,192.08,188.75,189.45
22-07-16,6,189.27,189.6,188.4,189.1
25-07-16,2,188.9,192.7,188.11,192.32
26-07-16,3,192.35,192.45,190.8,191.11
27-07-16,4,192,193.15,190.79,192.26
28-07-16,5,192.5,194.24,191.98,192.61
29-07-16,6,191.76,192.79,191.28,191.92
01-08-16,2,192.8,193.1,189,190.74
02-08-16,3,191.49,191.5,189.7,190.03
03-08-16,4,189.73,190.14,188.32,189.01
04-08-16,5,188.8,189.21,186.81,188.45
05-08-16,6,190.09,192,190.02,191.6
08-08-16,2,191.93,192.1,191.37,191.97
09-08-16,3,191.7,192.15,190.34,191.43
10-08-16,4,191.77,192.73,188.83,189.71
11-08-16,5,188.43,189.57,187.49,189.01
12-08-16,6,189.15,191.86,189,191.5
16-08-16,3,191.75,192.7,190.6,192.11
17-08-16,4,192.25,193.5,191.58,192.87
18-08-16,5,193.8,199.43,193.34,197.17
19-08-16,6,197,197.3,196,196.96
22-08-16,2,197.03,197.5,194.93,195.73
23-08-16,3,196,196.35,194.85,195.69
24-08-16,4,196.12,196.39,195,195.52
25-08-16,5,192.5,196.8,190.5,195.41
26-08-16,6,195.25,196.2,193.55,194.37
29-08-16,2,194.85,194.85,193.55,194.28
30-08-16,3,195.3,197.53,195.3,197.42
31-08-16,4,198,200.42,198,199.73
01-09-16,5,203.72,207.72,199.61,199.97
02-09-16,6,199.94,201.65,199.7,201.45
06-09-16,3,201.5,206.92,201.5,206.41
07-09-16,4,207,208.74,206.29,206.87
08-09-16,5,207.09,207.38,206,206.86
09-09-16,6,206.99,206.99,204,205
12-09-16,2,202.71,202.71,199.45,200.8
14-09-16,4,201.46,202.35,200.66,201.65
15-09-16,5,205.69,209.72,200.07,201.19
16-09-16,6,202.75,204.88,200.37,201.7
19-09-16,2,201.7,202.45,201.14,202
20-09-16,3,201.76,201.76,200.54,200.86
21-09-16,4,201.31,202.18,200.5,200.87
22-09-16,5,204.6,205.48,202.2,203.83
23-09-16,6,203.17,203.19,201.1,201.86
26-09-16,2,200.99,200.99,198.5,199.02
27-09-16,3,199.85,199.85,197.61,198.04
28-09-16,4,198.04,199.35,197.05,199.09
29-09-16,5,200.15,200.68,194,194.95
30-09-16,6,196.13,196.13,194,195.82
03-10-16,2,197.4,198.43,196.44,198.09
04-10-16,3,198.25,199.64,197.32,199.05
05-10-16,4,199.69,200.83,197,198.28
06-10-16,5,197.15,198,195.58,196.69
07-10-16,6,196.74,197.11,195.68,196.34
10-10-16,2,197.37,197.85,196.35,197.04
13-10-16,5,194.91,197.5,191.15,192.11
14-10-16,6,192.57,192.75,191.9,192.4
17-10-16,2,192.8,194.49,192.2,192.71
18-10-16,3,193.89,197.15,193.5,196.72
19-10-16,4,197.25,197.25,195.63,196.14
20-10-16,5,197.4,199.2,197.27,198.43
21-10-16,6,198.26,199.8,197.42,199.06
24-10-16,2,199.9,201,199.54,200.03
25-10-16,3,200.78,200.78,199.23,200.35
26-10-16,4,198.6,199.28,196.75,197.45
27-10-16,5,197.1,197.9,195.5,197.58
28-10-16,6,197.41,198.55,196.83,197.4
30-10-16,1,198.55,207.32,197.25,197.7
01-11-16,3,198.1,198.1,196.7,196.8
02-11-16,4,194.9,195.25,193.75,194.55
03-11-16,5,194.95,195.45,193.76,194
04-11-16,6,194,194.14,192,192.52
07-11-16,2,194.3,196.23,194.27,195.78
08-11-16,3,195.72,197.3,195.02,196.96
09-11-16,4,185.96,198.8,185.96,198.46
10-11-16,5,200,207.5,200,206.02
11-11-16,6,204.51,205.5,200.12,200.61
15-11-16,3,200,201.38,195.7,196.4
16-11-16,4,198,198,193.4,193.68
17-11-16,5,197.55,201.43,192.9,193.46
18-11-16,6,193.8,193.99,191.79,192.26
21-11-16,2,192.5,192.5,186.61,187.32
22-11-16,3,189.5,189.5,185.96,187.73
23-11-16,4,188,188.37,187,187.14
24-11-16,5,185.57,187,182.13,185.94
25-11-16,6,186.94,187.75,185.26,187.35
28-11-16,2,184,187.2,184,185.39
29-11-16,3,185.5,186.84,184.48,184.75
30-11-16,4,185.7,188.75,184.93,188.51
01-12-16,5,188.5,189.7,186.08,186.51
02-12-16,6,185.5,187.05,184.3,185.46
05-12-16,2,185.6,186.65,184.3,186.46
06-12-16,3,187.8,187.8,185.94,186.22
07-12-16,4,186.98,187.84,181.66,184.16
08-12-16,5,185.48,187.5,185.39,187.03
09-12-16,6,186.9,189.15,186.34,188.48
12-12-16,2,188.27,188.27,185.5,185.82
13-12-16,3,185.59,186.9,185,186.74
14-12-16,4,185.61,186.29,185.1,185.41
15-12-16,5,185.1,186.9,183.8,185.61
16-12-16,6,185.5,185.5,184.75,185.04
19-12-16,2,184.54,185.44,184.35,184.73
20-12-16,3,184.86,184.88,182.16,182.57
21-12-16,4,183.1,183.78,182.69,182.9
22-12-16,5,182.35,182.35,180.4,180.94
23-12-16,6,180.5,181.4,180.4,180.78
26-12-16,2,180.18,180.35,177.8,178.48
27-12-16,3,179.01,180.78,178.2,180.23
28-12-16,4,180.55,182.35,180.02,180.5
28-12-16,4,180.55,182.35,180.02,180.5
29-12-16,5,180.45,182.48,180.17,181.98
30-12-16,6,182,184,182,183.43
02-01-17,2,183.22,183.66,180.8,181.56
03-01-17,3,181.46,183,180.36,181.88
04-01-17,4,182.73,182.73,181.1,181.1
05-01-17,5,182,183.2,182,182.74
06-01-17,6,183.86,185.95,183.8,185.39
09-01-17,2,185.1,185.77,184.78,185.65
10-01-17,3,185.65,186.87,185.22,186.28
11-01-17,4,187.4,190.55,187.05,189.94
12-01-17,5,190.4,191.75,190.19,191.28
13-01-17,6,191.62,191.75,190.55,191.55
16-01-17,2,190.74,193.6,190.74,193.24
17-01-17,3,195,195,192.2,192.99
18-01-17,4,193.35,195.08,193.35,193.92
19-01-17,5,193.8,194.02,192.74,193.24
20-01-17,6,192.95,193.29,190.4,190.65
23-01-17,2,190.22,191.5,189.51,190.52
24-01-17,3,192.08,192.68,191.5,192.53
25-01-17,4,193,196.8,193,196.32
27-01-17,6,197,199.7,197,199.28
30-01-17,2,198.11,199.63,197.94,198.1
31-01-17,3,197.8,198.06,196.44,197.07
01-02-17,4,197.12,203.12,197.05,202.66
02-02-17,5,201.82,204,201.48,203.3
03-02-17,6,203.52,204.64,202.44,203.87
06-02-17,2,206.34,206.34,205,205.7
07-02-17,3,204.83,205.98,204.6,205.44
08-02-17,4,204.89,205.7,203.03,204.16
09-02-17,5,205.53,206.14,202.01,203.54
10-02-17,6,204.26,205.04,203.45,204.27
13-02-17,2,204.63,205,202.54,204.92
14-02-17,3,205,205,203.47,204.56
15-02-17,4,204.7,205.6,203.37,203.44
16-02-17,5,203.5,204.87,202.9,204.35
17-02-17,6,208.43,212,206.03,207.4
20-02-17,2,207.5,209.18,206.98,208.79
21-02-17,3,208.06,211,208.06,210.55
22-02-17,4,210.79,211.59,210.34,210.67
23-02-17,5,210.23,211.95,210.23,210.51
27-02-17,2,210.91,210.91,208.29,208.55
28-02-17,3,208.5,209.28,208.02,208.36
01-03-17,4,209.01,211,208.86,210.46
02-03-17,5,210.41,211,207.51,207.86
03-03-17,6,207.6,207.63,206.5,207.29
06-03-17,2,208.24,209.5,208.17,208.52
07-03-17,3,208.5,208.58,208.1,208.58
08-03-17,4,208.58,209,207.5,208.58
09-03-17,5,208.38,209.8,208.19,209.33
10-03-17,6,210,211.33,208.95,209.39
14-03-17,3,213.61,213.97,212.5,212.98
15-03-17,4,213.64,214.57,213,213.43
16-03-17,5,214.07,214.72,213.7,214.53
17-03-17,6,214.28,214.28,213.2,213.65
20-03-17,2,213.15,214.14,212.74,213.39
21-03-17,3,213.4,213.65,212.07,212.9
22-03-17,4,211.65,211.65,209.95,210.1
23-03-17,5,210.29,212,209.87,211.6
24-03-17,6,211.85,214.43,211.38,213.63
27-03-17,2,213.25,213.65,212.34,212.74
28-03-17,3,213.68,214.9,213.04,214.65
29-03-17,4,214,216.49,213.81,216.08
30-03-17,5,216.12,217.7,216.12,217.21
31-03-17,6,221.55,225.89,216.66,216.86
03-04-17,2,225.89,225.89,216.65,217.43
05-04-17,4,217.1,219,217.1,218.55
06-04-17,5,217.26,219.1,217.26,218.3
07-04-17,6,218.13,218.16,216.35,216.63
10-04-17,2,217.07,217.63,216.15,217.37
11-04-17,3,217.75,219.55,217.15,219.26
12-04-17,4,219.21,220,217.88,218.67
13-04-17,5,218.48,219.65,218.48,219.08
17-04-17,2,219.3,219.55,218,218.58
18-04-17,3,218.67,221.38,218.67,219.35
19-04-17,4,219,219,217.55,218.4
20-04-17,5,217.55,218,216.62,217.49
21-04-17,6,218.34,218.38,216.1,217.43
24-04-17,2,218,220.97,218,220.81
25-04-17,3,220.9,223.5,220.83,222.93
26-04-17,4,223.34,225.05,223.34,224.72
27-04-17,5,224.4,225.75,224,225.2
28-04-17,6,225,225.97,224.41,225.75
02-05-17,3,225.7,227.18,225.3,226.07
03-05-17,4,226.75,226.75,224.65,224.93
04-05-17,5,227.04,229.45,226.04,229.36
05-05-17,6,229.55,229.9,227.65,228.23
08-05-17,2,229.05,230.47,228.41,230.01
09-05-17,3,230.1,230.3,228.85,229.07
10-05-17,4,229.37,230.61,229.16,230.12
11-05-17,5,230.59,231.55,229.74,229.79
12-05-17,6,230.04,230.35,227.84,228.62
15-05-17,2,229.35,230.55,229.35,230.18
16-05-17,3,230.18,231.42,229.44,231.23
17-05-17,4,231.07,231.55,230.37,231.11
18-05-17,5,230.02,230.27,229.01,229.14
19-05-17,6,229.55,230.9,228.51,229.92
22-05-17,2,235,235,228.75,228.84
23-05-17,3,228.51,229.45,226.95,227.96
24-05-17,4,227.9,228.69,226.95,227.32
25-05-17,5,228.2,234.45,227.88,233.7
26-05-17,6,238.37,240.71,233.05,236.74
29-05-17,2,236.5,237.05,234.5,234.72
30-05-17,3,234.51,236.01,234.51,235.95
31-05-17,4,236.02,237.24,235.35,236.9
01-06-17,5,236.09,236.45,235,235.69
02-06-17,6,236.68,236.99,235.98,236.39
05-06-17,2,241.12,241.12,236.21,237.46
06-06-17,3,237.29,237.34,236.5,236.9
07-06-17,4,237.4,239.01,237.04,238.15
08-06-17,5,238.76,238.96,238.15,238.36
09-06-17,6,238.16,240,237.55,239.69
12-06-17,2,239.1,239.35,237.49,237.87
13-06-17,3,237.89,238.5,237.51,237.76
14-06-17,4,238.05,238.05,236.67,237.31
15-06-17,5,236.95,237.03,235.85,236.45
16-06-17,6,236.75,237.8,236.75,237.36
19-06-17,2,237.8,241,237.8,240.77
20-06-17,3,236.6,240.85,236.6,240.27
21-06-17,4,239.02,240.55,239.02,240.05
22-06-17,5,240.35,242.43,240.35,241.28
23-06-17,6,240.81,240.81,237.95,238.08
27-06-17,3,238.12,239.15,232.95,234.73
28-06-17,4,234.19,235.57,233.59,235.49
29-06-17,5,236.05,237.65,234.45,235.55
30-06-17,6,235.37,235.59,233.45,235
03-07-17,2,235,236.37,235,235.77
04-07-17,3,236.35,236.65,235,235.95
05-07-17,4,235.95,236.9,235.4,236.71
06-07-17,5,237.01,238.6,237.01,238.04
07-07-17,6,238.58,238.58,237.4,237.91
10-07-17,2,238.1,239.9,237.25,239.56
11-07-17,3,239,240.78,239,239.86
12-07-17,4,238.8,240.63,238.8,240.38
13-07-17,5,240,242.73,240,242.54
14-07-17,6,242.53,242.76,241.33,242.31
17-07-17,2,242.61,244.08,242.5,243.38
18-07-17,3,243.7,244.7,243.21,243.57
19-07-17,4,243.9,245.45,243.8,245.21
20-07-17,5,245.97,246.28,245.37,245.89
21-07-17,6,245.4,246.05,244.49,245.89
24-07-17,2,250.8,250.8,246.25,247.64
25-07-17,3,247.5,249.3,247.5,249.09
26-07-17,4,249.49,250.5,248.72,250.11
27-07-17,5,250.8,253.85,250.8,252.97
28-07-17,6,252.5,252.5,250.42,251.19
31-07-17,2,251.39,254.98,251.39,254.49
01-08-17,3,254.8,256.24,254.41,255.42
02-08-17,4,250,256.46,250,254.26
03-08-17,5,253.74,253.94,250,250.6
04-08-17,6,250.44,252.45,249.32,252.21
07-08-17,2,252,253.48,252,253.04
08-08-17,3,253.14,253.14,249.01,249.76
09-08-17,4,249.05,249.05,247.61,248.14
10-08-17,5,247.19,247.28,245,246.16
11-08-17,6,243.57,245.05,242.23,242.96
14-08-17,2,243.91,245.45,243.89,245.05
16-08-17,4,245.1,248.35,243.45,247.89
17-08-17,5,247.26,248.53,245.64,246.75
18-08-17,6,244.8,245.23,243.45,245.11
21-08-17,2,245.11,246.05,243.34,243.62
22-08-17,3,244.13,244.95,242.55,244.13
23-08-17,4,244.95,247,244.8,246.92
24-08-17,5,246.51,247.45,245.93,246.61
28-08-17,2,247.04,247.86,247.04,247.79
29-08-17,3,246.56,246.83,244.73,245.13
30-08-17,4,245.92,247.59,245.9,246.93
31-08-17,5,246.88,247.37,245.75,246.86
01-09-17,6,247,248.55,246.97,247.77
04-09-17,2,247.8,247.91,245.3,246.24
05-09-17,3,247.9,251.17,246.74,247.27
06-09-17,4,245.84,246.87,245.35,246.33
07-09-17,5,246.85,247.75,246.45,246.51
08-09-17,6,247.53,247.53,246.45,247.21
11-09-17,2,247.82,250.57,247.78,250.35
12-09-17,3,251.06,251.6,250.29,251.24
13-09-17,4,251.52,252.77,251.03,251.78
14-09-17,5,251.97,253.32,251.97,252.81
15-09-17,6,251.89,252.6,251.72,252.14
18-09-17,2,253.55,254.45,253.4,253.99
19-09-17,3,253.67,254.36,253.59,253.79
20-09-17,4,254.05,254.18,253.25,253.63
21-09-17,5,253.49,253.49,250.66,251.51
22-09-17,6,250.06,250.22,247.44,247.84
25-09-17,2,247.15,247.15,244.4,245.72
26-09-17,3,244.81,246.76,244.46,246.15
27-09-17,4,247.15,247.27,242,242.79
28-09-17,5,241.6,243.61,241,242.95
29-09-17,6,244,246.58,244,244.86
03-10-17,3,245.29,246.08,244.15,244.72
04-10-17,4,245.01,246.15,244.73,245.18
05-10-17,5,245.2,246.06,244.42,244.75
06-10-17,6,245.45,246.7,245.45,246.22
09-10-17,2,246.65,247.16,245.5,246.11
10-10-17,3,246.48,247,246.21,246.7
11-10-17,4,247.12,248.2,244,244.13
12-10-17,5,244.25,246.88,243.07,246.73
13-10-17,6,247.06,251.15,247.02,250.41
16-10-17,2,251.45,251.65,248.65,250.28
17-10-17,3,250.3,251.46,249.05,249.73
18-10-17,4,248.33,248.85,246.19,246.79
19-10-17,5,246.35,246.35,242.62,244.13
23-10-17,2,244.2,244.59,242.82,244.25
24-10-17,3,245.55,246,244.52,245.33
25-10-17,4,249.5,254.25,249.01,253.89
26-10-17,5,253.64,255.05,252.79,253.74
27-10-17,6,253.38,253.74,252,252.13
30-10-17,2,252.2,254.44,252.2,254.29
31-10-17,3,254.35,254.98,253.83,254.54
01-11-17,4,255.6,258.7,255.59,258.15
02-11-17,5,257.85,259.25,257.55,257.91
03-11-17,6,258.55,260.56,257.85,259.97
06-11-17,2,259.91,260.35,259.12,259.53
07-11-17,3,259.93,260.25,256.24,256.44
08-11-17,4,256.75,257.55,255.17,255.4
09-11-17,5,256.25,257.15,255.23,256.44
10-11-17,6,256.11,259.3,255.9,257.85
13-11-17,2,258.37,260,257.59,257.8
14-11-17,3,257.7,257.95,256.35,256.75
15-11-17,4,256.75,257.35,255.78,256.45
16-11-17,5,256.95,258.3,256.5,257.81
17-11-17,6,261.46,263,261.15,261.68
20-11-17,2,261.08,262,260.75,261.7
21-11-17,3,261.93,262.72,261.39,261.52
22-11-17,4,261.75,261.75,260.27,261.1
23-11-17,5,261,261.4,259.8,260.94
24-11-17,6,261.03,262.56,261.03,261.97
27-11-17,2,261.37,263.23,260.91,262.76
28-11-17,3,261.89,263.53,261.85,262.29
29-11-17,4,262.05,262.55,261.55,261.61
30-11-17,5,261.2,261.2,256.99,257.33
01-12-17,6,257.36,257.96,255.16,255.66
04-12-17,2,256.87,256.87,253.83,255.46
05-12-17,3,255.01,256.13,253.45,255.59
06-12-17,4,254.71,254.93,252.5,252.88
07-12-17,5,253.33,255.34,252.81,254.76
08-12-17,6,255.35,257.05,255.35,256.49
11-12-17,2,257.4,258.03,256.95,257.39
12-12-17,3,256.65,256.65,254.83,255.07
13-12-17,4,260.17,260.17,252.85,253.55
14-12-17,5,254.28,255.78,252.51,255.11
15-12-17,6,257.6,259.26,257.57,259.15
18-12-17,2,256.15,261.34,247.91,259.36
19-12-17,3,260.25,260.95,259.88,260.6
20-12-17,4,259.86,261.55,259.86,260.02
21-12-17,5,260.15,260.9,259.3,259.63
22-12-17,6,259.58,260.73,259.52,260.15
26-12-17,3,260.06,260.64,259.5,260.25
27-12-17,4,260,261.28,258.53,259.07
28-12-17,5,259.4,259.4,258.12,258.47
29-12-17,6,258.5,259.83,258.21,259.65
01-01-18,2,259.61,259.71,257.1,257.78
02-01-18,3,258,258.25,256.56,257.17
03-01-18,4,257.51,258.52,257.49,257.64
04-01-18,5,257.9,259.34,257.26,259.11
05-01-18,6,258.95,260.86,258.95,260.73
08-01-18,2,260.58,261.75,260.58,261.12
09-01-18,3,261,261.43,260.5,260.97
10-01-18,4,260.91,261,259.75,260.1
11-01-18,5,259.55,260.95,259.5,260.53
12-01-18,6,260.97,261.5,259.33,261.11
15-01-18,2,261.5,264.72,261.5,264.47
16-01-18,3,264.5,264.83,263.65,264.24
17-01-18,4,263.65,267.29,263.33,267.01
18-01-18,5,269.24,272,268,268.74
19-01-18,6,269,273.9,269,273.46
22-01-18,2,273.4,274.45,272.5,274.16
23-01-18,3,275.14,278.19,274.65,277.72
24-01-18,4,277.7,278.9,276.6,277.62
25-01-18,5,281.88,281.88,275.52,277.93
29-01-18,2,278.9,280.38,278.41,278.69
30-01-18,3,277.82,278,276.15,276.52
31-01-18,4,276.64,278.15,275.05,277.15
01-02-18,5,277.1,279.5,274.65,276
02-02-18,6,273.58,273.79,267,268.24
05-02-18,2,260.53,266.1,260.53,265.34
06-02-18,3,256.02,265.45,254.15,262.81
07-02-18,4,265.04,265.04,260.2,260.69
08-02-18,5,261.09,265.25,260.5,263.69
09-02-18,6,259.52,260.43,258.15,259.19
12-02-18,2,259.2,261.89,259.2,261.59
14-02-18,4,259.25,261.85,256.96,258.18
15-02-18,5,257.71,259.85,256.84,258.55
16-02-18,6,257,260.41,255.6,256.42
19-02-18,2,256.25,256.25,252.55,254.24
20-02-18,3,254.6,255.5,252.79,253.05
21-02-18,4,253.7,253.91,251.75,253.12
22-02-18,5,252.45,253.88,252.03,253.74
23-02-18,6,254.5,257.15,254.5,256.74
26-02-18,2,258.71,261.3,258.25,260.99
27-02-18,3,261.02,261.05,257.95,258.24
28-02-18,4,256.02,256.02,252.8,254.6
01-03-18,5,254.48,255.65,251.64,252.14
05-03-18,2,251.5,252.28,250.13,251.73
06-03-18,3,252.63,253.85,247.5,248.32
07-03-18,4,247.5,247.64,244.9,245.27
08-03-18,5,245.86,248.55,244,247.91
09-03-18,6,248.2,248.55,245.85,246.53
12-03-18,2,246.84,250.29,246.79,249.88
13-03-18,3,249.7,253.45,249.05,250.84
14-03-18,4,249.75,252.07,248.1,251.48
15-03-18,5,251.96,252.7,250.58,251.07
16-03-18,6,250.25,251.25,248.55,248.95
19-03-18,2,249.62,249.62,245.5,245.99
20-03-18,3,245,247,244.1,244.82
21-03-18,4,247,248.25,245.6,246.17
22-03-18,5,246.3,246.65,244,245.05
23-03-18,6,241.36,241.82,239.7,240.51
26-03-18,2,240,246.55,240,246.01
27-03-18,3,246.82,248.26,246.55,247.22
28-03-18,4,246,247.15,245.45,246.56
02-04-18,2,245.95,246.85,244.46,245.96
03-04-18,3,245.9,248.35,245.85,248.14
04-04-18,4,248.15,249.49,243.8,244.15
05-04-18,5,246.79,251.4,246.79,250.8
06-04-18,6,250.4,252.7,249.48,252.04
09-04-18,2,252.83,254.45,252.5,253.69
10-04-18,3,254.5,256.2,254.5,255.74
11-04-18,4,254.8,255.12,253.2,254.66
12-04-18,5,254.06,255.84,253.66,255.33
13-04-18,6,255.5,257.5,254.71,256.08
16-04-18,2,254.85,257.12,254.41,256.75
17-04-18,3,256.26,257.55,255.86,257.06
18-04-18,4,256.84,257.52,254.09,254.33
19-04-18,5,256.8,256.8,254.1,254.97
20-04-18,6,254.25,254.55,252.2,253.45
23-04-18,2,253.5,254.41,251.12,252.85
24-04-18,3,252.85,254.29,252.8,254.1
25-04-18,4,252.85,253.51,250.95,251.31
26-04-18,5,250.88,253.7,250.88,252.77
27-04-18,6,253.36,257.89,253.36,256.98
30-04-18,2,258.25,260.83,258.25,259.83
02-05-18,4,259.8,261.53,259,259.84
03-05-18,5,259.5,260.3,258.75,260.19
04-05-18,6,260.25,260.42,259,259.96
07-05-18,2,260.85,261.95,260.29,261.4
08-05-18,3,263.25,264.55,262.89,264.16
09-05-18,4,262.84,265.01,262.84,264.82
10-05-18,5,265.49,266.05,264.21,264.66
11-05-18,6,265.45,267.7,264.65,267.25
14-05-18,2,267.27,268.95,267.25,268.39
15-05-18,3,268.22,272.89,267.85,268.68
16-05-18,4,266.09,267.85,264.75,265.69
17-05-18,5,266.35,266.45,264,264.38
18-05-18,6,263.97,263.97,262,262.35
21-05-18,2,263.23,263.8,260.23,260.62
22-05-18,3,260.7,262.67,260.4,261.09
23-05-18,4,260,263.33,260,260.53
24-05-18,5,260.58,263.91,260.34,263.35
25-05-18,6,264.05,266.65,264,266.34
28-05-18,2,267.5,270.5,267.5,269.84
29-05-18,3,269.17,269.4,266.25,266.84
30-05-18,4,265.38,267.85,264.15,266.38
31-05-18,5,268.85,275.2,267.68,272.93
01-06-18,6,272.57,274.05,271.06,272
04-06-18,2,273.26,273.45,267.11,267.4
05-06-18,3,266.5,268.25,265.85,267.2
06-06-18,4,266.88,268.89,266,268.03
07-06-18,5,269.65,272.5,269.65,270.36
08-06-18,6,269.47,269.55,267.75,269.26
11-06-18,2,269.46,271.15,268.14,269.42
12-06-18,3,270.38,271.5,269.54,270.74
13-06-18,4,270.53,272.25,270.3,270.8
14-06-18,5,270.2,270.74,269.48,270.19
15-06-18,6,270.25,270.85,268.11,269.17
18-06-18,2,268.82,269.76,268.2,269.26
19-06-18,3,268.47,268.74,267.01,267.9
20-06-18,4,268.2,270.91,268,270.8
21-06-18,5,271.25,271.93,269.06,269.56
22-06-18,6,268.64,272.65,268.2,271.83
25-06-18,2,268.3,272.55,252.99,271.13
26-06-18,3,273,273,270.05,270.45
27-06-18,4,270.2,270.68,268.6,269.32
28-06-18,5,268.8,269.3,266.35,267
29-06-18,6,268.05,269.19,267.8,268.6
02-07-18,2,268,268.55,264.99,266.26
03-07-18,3,266.26,267.35,265.6,266.28
04-07-18,4,266.06,269.32,265.32,269.12
05-07-18,5,269.2,270,268.33,269.05
06-07-18,6,269.25,270.04,269.25,269.76
09-07-18,2,270.2,272.2,270.2,271.83
10-07-18,3,273,275,272.5,274.22
11-07-18,4,274.2,275,272.07,273.19
12-07-18,5,273.6,276.73,273.6,275.31
13-07-18,6,274.8,275.65,273.99,274.5
16-07-18,2,274.07,274.07,271.7,272.02
17-07-18,3,271.81,274.8,271.7,274.6
18-07-18,4,275,276,273.15,273.99
19-07-18,5,273.91,274.75,272.65,272.96
20-07-18,6,273,274.17,273,273.99
23-07-18,2,273.5,275,273.05,274.01
24-07-18,3,274.8,275.2,272.75,274.18
25-07-18,4,274.6,275.15,273.72,274.23
26-07-18,5,274.39,279.85,274.39,279.42
27-07-18,6,279.85,281.25,279.45,280.8
30-07-18,2,281.85,284.14,280.75,284
31-07-18,3,283,283.42,281.91,282.45
01-08-18,4,280,283.46,279.01,279.99
02-08-18,5,280,280,278.35,279.21
03-08-18,6,280.05,281.75,280,281.55
06-08-18,2,282.41,284.85,282.41,284.67
07-08-18,3,285,285,282.9,284.1
08-08-18,4,284.23,286.18,283.5,285.61
09-08-18,5,286,289.07,286,288.59
10-08-18,6,288.09,289.2,286.55,286.81
13-08-18,2,285,285.8,282.95,283.13
14-08-18,3,283,285.4,283,285.01
16-08-18,5,284.05,285.26,283.25,283.89
17-08-18,6,284.51,286.25,284.51,285.8
20-08-18,2,286.5,288.82,286.5,288.34
21-08-18,3,288.8,288.9,287.05,288.26
23-08-18,5,286.6,288.02,284.76,285.12
24-08-18,6,285,286.15,282.73,283.16
27-08-18,2,285.25,288.8,284.98,288.35
28-08-18,3,289.49,289.5,287.5,288.71
29-08-18,4,287.25,289.4,282.86,288.23
30-08-18,5,288.23,288.23,285.51,286.46
31-08-18,6,285.92,287,285,286.29
03-09-18,2,286.3,286.79,283.51,283.67
04-09-18,3,284,284,279.29,279.94
05-09-18,4,285.54,291.13,275.9,278.77
06-09-18,5,278.8,279.95,277.55,278.84
07-09-18,6,278.3,279.81,277,279.34
10-09-18,2,278.51,280,276.5,277.02
11-09-18,3,276.3,278.45,272.15,272.27
12-09-18,4,271.43,274.28,270.1,273.46
14-09-18,6,274,277.23,274,276.9
17-09-18,2,274.85,274.85,272.85,273.45
18-09-18,3,274.3,274.3,268.43,268.58
19-09-18,4,269.2,270.15,266.9,267.23
21-09-18,6,268.5,269.39,255,262.01
24-09-18,2,260,260.12,253.5,254.18
25-09-18,3,253,259.48,252,258.98
26-09-18,4,260,260.08,256.64,258.02
27-09-18,5,258.43,259.05,254.75,255.42
28-09-18,6,257.52,257.85,253,255.72
01-10-18,2,254.5,259.18,251.93,258.31
03-10-18,4,256.04,259.45,254.9,255.42
04-10-18,5,255,255,250.05,253.12
05-10-18,6,253.1,255.5,248,250.56
08-10-18,2,245.55,252.4,245,251.72
09-10-18,3,252,252.31,248.92,249.27
10-10-18,4,250.1,258.96,250.1,258.57
11-10-18,5,251.72,254.05,249.8,252.88
12-10-18,6,256.2,259.85,256.2,259.03
15-10-18,2,258,259.08,256.25,258.71
16-10-18,3,258.5,261.75,258.22,261.28
17-10-18,4,263,263.85,255.59,256.48
